Start profiling...
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Train Epoch: 1 [33600/60000 (56%)]	Loss: 0.001368
Train Epoch: 1 [33760/60000 (56%)]	Loss: 0.000825
Train Epoch: 1 [33920/60000 (57%)]	Loss: 0.444522
Train Epoch: 1 [34080/60000 (57%)]	Loss: 0.350165
Train Epoch: 1 [34240/60000 (57%)]	Loss: 0.544063
Train Epoch: 1 [34400/60000 (57%)]	Loss: 0.005262
Train Epoch: 1 [34560/60000 (58%)]	Loss: 0.234279
Train Epoch: 1 [34720/60000 (58%)]	Loss: 0.349177
Train Epoch: 1 [34880/60000 (58%)]	Loss: 0.301666
Train Epoch: 1 [35040/60000 (58%)]	Loss: 0.011698
Train Epoch: 1 [35200/60000 (59%)]	Loss: 0.038262
Train Epoch: 1 [35360/60000 (59%)]	Loss: 0.121544
Train Epoch: 1 [35520/60000 (59%)]	Loss: 0.102866
Train Epoch: 1 [35680/60000 (59%)]	Loss: 0.194861
Train Epoch: 1 [35840/60000 (60%)]	Loss: 0.036300
Train Epoch: 1 [36000/60000 (60%)]	Loss: 0.280383
Train Epoch: 1 [36160/60000 (60%)]	Loss: 0.013810
Train Epoch: 1 [36320/60000 (61%)]	Loss: 0.067698
Train Epoch: 1 [36480/60000 (61%)]	Loss: 0.375090
Train Epoch: 1 [36640/60000 (61%)]	Loss: 0.008342
Train Epoch: 1 [36800/60000 (61%)]	Loss: 0.008573
Train Epoch: 1 [36960/60000 (62%)]	Loss: 0.168252
Train Epoch: 1 [37120/60000 (62%)]	Loss: 0.010700
Train Epoch: 1 [37280/60000 (62%)]	Loss: 0.051045
Train Epoch: 1 [37440/60000 (62%)]	Loss: 0.022143
Train Epoch: 1 [37600/60000 (63%)]	Loss: 0.003307
Train Epoch: 1 [37760/60000 (63%)]	Loss: 0.035127
Train Epoch: 1 [37920/60000 (63%)]	Loss: 0.121816
Train Epoch: 1 [38080/60000 (63%)]	Loss: 0.117517
Train Epoch: 1 [38240/60000 (64%)]	Loss: 0.267597
Train Epoch: 1 [38400/60000 (64%)]	Loss: 0.006840
Train Epoch: 1 [38560/60000 (64%)]	Loss: 0.167869
Train Epoch: 1 [38720/60000 (65%)]	Loss: 0.097666
Train Epoch: 1 [38880/60000 (65%)]	Loss: 0.112364
Train Epoch: 1 [39040/60000 (65%)]	Loss: 0.052060
Train Epoch: 1 [39200/60000 (65%)]	Loss: 0.085278
Train Epoch: 1 [39360/60000 (66%)]	Loss: 0.003387
Train Epoch: 1 [39520/60000 (66%)]	Loss: 0.051227
Train Epoch: 1 [39680/60000 (66%)]	Loss: 0.193533
Train Epoch: 1 [39840/60000 (66%)]	Loss: 0.374327
Train Epoch: 1 [40000/60000 (67%)]	Loss: 0.026957
Train Epoch: 1 [40160/60000 (67%)]	Loss: 0.116313
Train Epoch: 1 [40320/60000 (67%)]	Loss: 0.037805
Train Epoch: 1 [40480/60000 (67%)]	Loss: 0.126299
Train Epoch: 1 [40640/60000 (68%)]	Loss: 0.164033
Train Epoch: 1 [40800/60000 (68%)]	Loss: 0.018338
Train Epoch: 1 [40960/60000 (68%)]	Loss: 0.020421
Train Epoch: 1 [41120/60000 (69%)]	Loss: 0.051197
Train Epoch: 1 [41280/60000 (69%)]	Loss: 0.068656
Train Epoch: 1 [41440/60000 (69%)]	Loss: 0.093649
Train Epoch: 1 [41600/60000 (69%)]	Loss: 0.023854
Train Epoch: 1 [41760/60000 (70%)]	Loss: 0.005131
Train Epoch: 1 [41920/60000 (70%)]	Loss: 0.042055
Train Epoch: 1 [42080/60000 (70%)]	Loss: 0.064501
Train Epoch: 1 [42240/60000 (70%)]	Loss: 0.235830
Train Epoch: 1 [42400/60000 (71%)]	Loss: 0.012974
Train Epoch: 1 [42560/60000 (71%)]	Loss: 0.026088
Train Epoch: 1 [42720/60000 (71%)]	Loss: 0.010462
Train Epoch: 1 [42880/60000 (71%)]	Loss: 0.001524
Train Epoch: 1 [43040/60000 (72%)]	Loss: 0.075309
Train Epoch: 1 [43200/60000 (72%)]	Loss: 0.010884
Train Epoch: 1 [43360/60000 (72%)]	Loss: 0.034829
Train Epoch: 1 [43520/60000 (73%)]	Loss: 0.325414
Train Epoch: 1 [43680/60000 (73%)]	Loss: 0.033274
Train Epoch: 1 [43840/60000 (73%)]	Loss: 0.014709
Train Epoch: 1 [44000/60000 (73%)]	Loss: 0.016876
Train Epoch: 1 [44160/60000 (74%)]	Loss: 0.048211
Train Epoch: 1 [44320/60000 (74%)]	Loss: 0.019719
Train Epoch: 1 [44480/60000 (74%)]	Loss: 0.561724
Train Epoch: 1 [44640/60000 (74%)]	Loss: 0.032113
Train Epoch: 1 [44800/60000 (75%)]	Loss: 0.021420
Train Epoch: 1 [44960/60000 (75%)]	Loss: 0.321191
Train Epoch: 1 [45120/60000 (75%)]	Loss: 0.206586
Train Epoch: 1 [45280/60000 (75%)]	Loss: 0.049557
Train Epoch: 1 [45440/60000 (76%)]	Loss: 0.003626
Train Epoch: 1 [45600/60000 (76%)]	Loss: 0.000293
Train Epoch: 1 [45760/60000 (76%)]	Loss: 0.005743
Train Epoch: 1 [45920/60000 (77%)]	Loss: 0.002751
Train Epoch: 1 [46080/60000 (77%)]	Loss: 0.014957
Train Epoch: 1 [46240/60000 (77%)]	Loss: 0.199495
Train Epoch: 1 [46400/60000 (77%)]	Loss: 0.022201
Train Epoch: 1 [46560/60000 (78%)]	Loss: 0.038255
Train Epoch: 1 [46720/60000 (78%)]	Loss: 0.037509
