Start profiling...
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Train Epoch: 2 [42880/60000 (71%)]	Loss: 0.051920
Train Epoch: 2 [43520/60000 (72%)]	Loss: 0.017104
Train Epoch: 2 [44160/60000 (74%)]	Loss: 0.051451
Train Epoch: 2 [44800/60000 (75%)]	Loss: 0.101787
Train Epoch: 2 [45440/60000 (76%)]	Loss: 0.007757
Train Epoch: 2 [46080/60000 (77%)]	Loss: 0.034161
Train Epoch: 2 [46720/60000 (78%)]	Loss: 0.040080
Train Epoch: 2 [47360/60000 (79%)]	Loss: 0.008657
Train Epoch: 2 [48000/60000 (80%)]	Loss: 0.064642
Train Epoch: 2 [48640/60000 (81%)]	Loss: 0.097665
Train Epoch: 2 [49280/60000 (82%)]	Loss: 0.267669
Train Epoch: 2 [49920/60000 (83%)]	Loss: 0.073449
Train Epoch: 2 [50560/60000 (84%)]	Loss: 0.066785
Train Epoch: 2 [51200/60000 (85%)]	Loss: 0.008898
Train Epoch: 2 [51840/60000 (86%)]	Loss: 0.053734
Train Epoch: 2 [52480/60000 (87%)]	Loss: 0.032877
Train Epoch: 2 [53120/60000 (88%)]	Loss: 0.012620
Train Epoch: 2 [53760/60000 (90%)]	Loss: 0.049258
Train Epoch: 2 [54400/60000 (91%)]	Loss: 0.022385
Train Epoch: 2 [55040/60000 (92%)]	Loss: 0.116570
Train Epoch: 2 [55680/60000 (93%)]	Loss: 0.133999
Train Epoch: 2 [56320/60000 (94%)]	Loss: 0.013161
Train Epoch: 2 [56960/60000 (95%)]	Loss: 0.047995
Train Epoch: 2 [57600/60000 (96%)]	Loss: 0.043010
Train Epoch: 2 [58240/60000 (97%)]	Loss: 0.171039
Train Epoch: 2 [58880/60000 (98%)]	Loss: 0.104905
Train Epoch: 2 [59520/60000 (99%)]	Loss: 0.068537

Test set: Average loss: 0.0357, Accuracy: 9892/10000 (99%)

Train Epoch: 3 [0/60000 (0%)]	Loss: 0.012733
Train Epoch: 3 [640/60000 (1%)]	Loss: 0.050018
Train Epoch: 3 [1280/60000 (2%)]	Loss: 0.025557
Train Epoch: 3 [1920/60000 (3%)]	Loss: 0.115924
Train Epoch: 3 [2560/60000 (4%)]	Loss: 0.053156
Train Epoch: 3 [3200/60000 (5%)]	Loss: 0.042852
Train Epoch: 3 [3840/60000 (6%)]	Loss: 0.032546
Train Epoch: 3 [4480/60000 (7%)]	Loss: 0.004530
Train Epoch: 3 [5120/60000 (9%)]	Loss: 0.078195
Train Epoch: 3 [5760/60000 (10%)]	Loss: 0.038166
Train Epoch: 3 [6400/60000 (11%)]	Loss: 0.013913
Train Epoch: 3 [7040/60000 (12%)]	Loss: 0.039726
Train Epoch: 3 [7680/60000 (13%)]	Loss: 0.013043
Train Epoch: 3 [8320/60000 (14%)]	Loss: 0.029204
Train Epoch: 3 [8960/60000 (15%)]	Loss: 0.094922
Train Epoch: 3 [9600/60000 (16%)]	Loss: 0.006485
Train Epoch: 3 [10240/60000 (17%)]	Loss: 0.121613
Train Epoch: 3 [10880/60000 (18%)]	Loss: 0.008531
Train Epoch: 3 [11520/60000 (19%)]	Loss: 0.036614
Train Epoch: 3 [12160/60000 (20%)]	Loss: 0.119483
Train Epoch: 3 [12800/60000 (21%)]	Loss: 0.008195
Train Epoch: 3 [13440/60000 (22%)]	Loss: 0.058251
Train Epoch: 3 [14080/60000 (23%)]	Loss: 0.030660
Train Epoch: 3 [14720/60000 (25%)]	Loss: 0.054401
Train Epoch: 3 [15360/60000 (26%)]	Loss: 0.155813
Train Epoch: 3 [16000/60000 (27%)]	Loss: 0.012354
Train Epoch: 3 [16640/60000 (28%)]	Loss: 0.019800
Train Epoch: 3 [17280/60000 (29%)]	Loss: 0.044871
Train Epoch: 3 [17920/60000 (30%)]	Loss: 0.022593
Train Epoch: 3 [18560/60000 (31%)]	Loss: 0.232877
Train Epoch: 3 [19200/60000 (32%)]	Loss: 0.015730
Train Epoch: 3 [19840/60000 (33%)]	Loss: 0.068968
Train Epoch: 3 [20480/60000 (34%)]	Loss: 0.027688
Train Epoch: 3 [21120/60000 (35%)]	Loss: 0.025854
Train Epoch: 3 [21760/60000 (36%)]	Loss: 0.023376
Train Epoch: 3 [22400/60000 (37%)]	Loss: 0.086852
Train Epoch: 3 [23040/60000 (38%)]	Loss: 0.015049
Train Epoch: 3 [23680/60000 (39%)]	Loss: 0.006459
Train Epoch: 3 [24320/60000 (41%)]	Loss: 0.021111
Train Epoch: 3 [24960/60000 (42%)]	Loss: 0.035961
Train Epoch: 3 [25600/60000 (43%)]	Loss: 0.025390
Train Epoch: 3 [26240/60000 (44%)]	Loss: 0.027475
Train Epoch: 3 [26880/60000 (45%)]	Loss: 0.003664
Train Epoch: 3 [27520/60000 (46%)]	Loss: 0.008117
Train Epoch: 3 [28160/60000 (47%)]	Loss: 0.008262
Train Epoch: 3 [28800/60000 (48%)]	Loss: 0.025425
Train Epoch: 3 [29440/60000 (49%)]	Loss: 0.027913
Train Epoch: 3 [30080/60000 (50%)]	Loss: 0.038901
Train Epoch: 3 [30720/60000 (51%)]	Loss: 0.018709
Train Epoch: 3 [31360/60000 (52%)]	Loss: 0.013331
Train Epoch: 3 [32000/60000 (53%)]	Loss: 0.107346
Train Epoch: 3 [32640/60000 (54%)]	Loss: 0.139453
Train Epoch: 3 [33280/60000 (55%)]	Loss: 0.033936
Train Epoch: 3 [33920/60000 (57%)]	Loss: 0.167380
Train Epoch: 3 [34560/60000 (58%)]	Loss: 0.055468
Train Epoch: 3 [35200/60000 (59%)]	Loss: 0.027151
Train Epoch: 3 [35840/60000 (60%)]	Loss: 0.309922
Train Epoch: 3 [36480/60000 (61%)]	Loss: 0.008775
Train Epoch: 3 [37120/60000 (62%)]	Loss: 0.068313
Train Epoch: 3 [37760/60000 (63%)]	Loss: 0.087400
Train Epoch: 3 [38400/60000 (64%)]	Loss: 0.093705
Train Epoch: 3 [39040/60000 (65%)]	Loss: 0.012453
Train Epoch: 3 [39680/60000 (66%)]	Loss: 0.061032
Train Epoch: 3 [40320/60000 (67%)]	Loss: 0.016768
Train Epoch: 3 [40960/60000 (68%)]	Loss: 0.132295
Train Epoch: 3 [41600/60000 (69%)]	Loss: 0.005462
Train Epoch: 3 [42240/60000 (70%)]	Loss: 0.028537
Train Epoch: 3 [42880/60000 (71%)]	Loss: 0.013115
Train Epoch: 3 [43520/60000 (72%)]	Loss: 0.003122
Train Epoch: 3 [44160/60000 (74%)]	Loss: 0.081341
Train Epoch: 3 [44800/60000 (75%)]	Loss: 0.005835
Train Epoch: 3 [45440/60000 (76%)]	Loss: 0.021862
Train Epoch: 3 [46080/60000 (77%)]	Loss: 0.365260
Train Epoch: 3 [46720/60000 (78%)]	Loss: 0.053218
Train Epoch: 3 [47360/60000 (79%)]	Loss: 0.031878
Train Epoch: 3 [48000/60000 (80%)]	Loss: 0.096168
Train Epoch: 3 [48640/60000 (81%)]	Loss: 0.028872
Train Epoch: 3 [49280/60000 (82%)]	Loss: 0.006727
Train Epoch: 3 [49920/60000 (83%)]	Loss: 0.229306
Train Epoch: 3 [50560/60000 (84%)]	Loss: 0.011551
