Start profiling...
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Train Epoch: 3 [5760/60000 (10%)]	Loss: 0.117699
Train Epoch: 3 [6400/60000 (11%)]	Loss: 0.045124
Train Epoch: 3 [7040/60000 (12%)]	Loss: 0.166975
Train Epoch: 3 [7680/60000 (13%)]	Loss: 0.075465
Train Epoch: 3 [8320/60000 (14%)]	Loss: 0.003228
Train Epoch: 3 [8960/60000 (15%)]	Loss: 0.132344
Train Epoch: 3 [9600/60000 (16%)]	Loss: 0.014362
Train Epoch: 3 [10240/60000 (17%)]	Loss: 0.020763
Train Epoch: 3 [10880/60000 (18%)]	Loss: 0.078966
Train Epoch: 3 [11520/60000 (19%)]	Loss: 0.207156
Train Epoch: 3 [12160/60000 (20%)]	Loss: 0.049248
Train Epoch: 3 [12800/60000 (21%)]	Loss: 0.012524
Train Epoch: 3 [13440/60000 (22%)]	Loss: 0.004634
Train Epoch: 3 [14080/60000 (23%)]	Loss: 0.244922
Train Epoch: 3 [14720/60000 (25%)]	Loss: 0.103032
Train Epoch: 3 [15360/60000 (26%)]	Loss: 0.028578
Train Epoch: 3 [16000/60000 (27%)]	Loss: 0.115904
Train Epoch: 3 [16640/60000 (28%)]	Loss: 0.023152
Train Epoch: 3 [17280/60000 (29%)]	Loss: 0.104651
Train Epoch: 3 [17920/60000 (30%)]	Loss: 0.024206
Train Epoch: 3 [18560/60000 (31%)]	Loss: 0.046164
Train Epoch: 3 [19200/60000 (32%)]	Loss: 0.049645
Train Epoch: 3 [19840/60000 (33%)]	Loss: 0.037367
Train Epoch: 3 [20480/60000 (34%)]	Loss: 0.053186
Train Epoch: 3 [21120/60000 (35%)]	Loss: 0.026744
Train Epoch: 3 [21760/60000 (36%)]	Loss: 0.032070
Train Epoch: 3 [22400/60000 (37%)]	Loss: 0.012241
Train Epoch: 3 [23040/60000 (38%)]	Loss: 0.005266
Train Epoch: 3 [23680/60000 (39%)]	Loss: 0.032790
Train Epoch: 3 [24320/60000 (41%)]	Loss: 0.056450
Train Epoch: 3 [24960/60000 (42%)]	Loss: 0.085032
Train Epoch: 3 [25600/60000 (43%)]	Loss: 0.052098
Train Epoch: 3 [26240/60000 (44%)]	Loss: 0.199015
Train Epoch: 3 [26880/60000 (45%)]	Loss: 0.252517
Train Epoch: 3 [27520/60000 (46%)]	Loss: 0.064518
Train Epoch: 3 [28160/60000 (47%)]	Loss: 0.029772
Train Epoch: 3 [28800/60000 (48%)]	Loss: 0.062907
Train Epoch: 3 [29440/60000 (49%)]	Loss: 0.100057
Train Epoch: 3 [30080/60000 (50%)]	Loss: 0.050969
Train Epoch: 3 [30720/60000 (51%)]	Loss: 0.022958
Train Epoch: 3 [31360/60000 (52%)]	Loss: 0.035050
Train Epoch: 3 [32000/60000 (53%)]	Loss: 0.024529
Train Epoch: 3 [32640/60000 (54%)]	Loss: 0.072379
Train Epoch: 3 [33280/60000 (55%)]	Loss: 0.057794
Train Epoch: 3 [33920/60000 (57%)]	Loss: 0.018736
Train Epoch: 3 [34560/60000 (58%)]	Loss: 0.030889
Train Epoch: 3 [35200/60000 (59%)]	Loss: 0.067875
Train Epoch: 3 [35840/60000 (60%)]	Loss: 0.183544
Train Epoch: 3 [36480/60000 (61%)]	Loss: 0.066777
Train Epoch: 3 [37120/60000 (62%)]	Loss: 0.027885
Train Epoch: 3 [37760/60000 (63%)]	Loss: 0.009766
Train Epoch: 3 [38400/60000 (64%)]	Loss: 0.015745
