Start profiling...
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Train Epoch: 3 [21120/60000 (35%)]	Loss: 0.034840
Train Epoch: 3 [21760/60000 (36%)]	Loss: 0.022419
Train Epoch: 3 [22400/60000 (37%)]	Loss: 0.060811
Train Epoch: 3 [23040/60000 (38%)]	Loss: 0.011665
Train Epoch: 3 [23680/60000 (39%)]	Loss: 0.004544
Train Epoch: 3 [24320/60000 (41%)]	Loss: 0.048722
Train Epoch: 3 [24960/60000 (42%)]	Loss: 0.022044
Train Epoch: 3 [25600/60000 (43%)]	Loss: 0.027135
Train Epoch: 3 [26240/60000 (44%)]	Loss: 0.045996
Train Epoch: 3 [26880/60000 (45%)]	Loss: 0.003666
Train Epoch: 3 [27520/60000 (46%)]	Loss: 0.007850
Train Epoch: 3 [28160/60000 (47%)]	Loss: 0.009827
Train Epoch: 3 [28800/60000 (48%)]	Loss: 0.016769
Train Epoch: 3 [29440/60000 (49%)]	Loss: 0.052974
Train Epoch: 3 [30080/60000 (50%)]	Loss: 0.076708
Train Epoch: 3 [30720/60000 (51%)]	Loss: 0.013462
Train Epoch: 3 [31360/60000 (52%)]	Loss: 0.015324
Train Epoch: 3 [32000/60000 (53%)]	Loss: 0.057236
Train Epoch: 3 [32640/60000 (54%)]	Loss: 0.150844
Train Epoch: 3 [33280/60000 (55%)]	Loss: 0.022938
Train Epoch: 3 [33920/60000 (57%)]	Loss: 0.186286
Train Epoch: 3 [34560/60000 (58%)]	Loss: 0.060636
Train Epoch: 3 [35200/60000 (59%)]	Loss: 0.057587
Train Epoch: 3 [35840/60000 (60%)]	Loss: 0.187129
Train Epoch: 3 [36480/60000 (61%)]	Loss: 0.024688
Train Epoch: 3 [37120/60000 (62%)]	Loss: 0.023300
Train Epoch: 3 [37760/60000 (63%)]	Loss: 0.083079
Train Epoch: 3 [38400/60000 (64%)]	Loss: 0.058437
Train Epoch: 3 [39040/60000 (65%)]	Loss: 0.012923
Train Epoch: 3 [39680/60000 (66%)]	Loss: 0.028036
Train Epoch: 3 [40320/60000 (67%)]	Loss: 0.029118
Train Epoch: 3 [40960/60000 (68%)]	Loss: 0.121368
Train Epoch: 3 [41600/60000 (69%)]	Loss: 0.006816
Train Epoch: 3 [42240/60000 (70%)]	Loss: 0.056282
Train Epoch: 3 [42880/60000 (71%)]	Loss: 0.021192
Train Epoch: 3 [43520/60000 (72%)]	Loss: 0.010340
Train Epoch: 3 [44160/60000 (74%)]	Loss: 0.036883
Train Epoch: 3 [44800/60000 (75%)]	Loss: 0.004616
Train Epoch: 3 [45440/60000 (76%)]	Loss: 0.051753
Train Epoch: 3 [46080/60000 (77%)]	Loss: 0.313362
Train Epoch: 3 [46720/60000 (78%)]	Loss: 0.018936
Train Epoch: 3 [47360/60000 (79%)]	Loss: 0.038925
Train Epoch: 3 [48000/60000 (80%)]	Loss: 0.073596
Train Epoch: 3 [48640/60000 (81%)]	Loss: 0.034144
Train Epoch: 3 [49280/60000 (82%)]	Loss: 0.014674
Train Epoch: 3 [49920/60000 (83%)]	Loss: 0.169864
Train Epoch: 3 [50560/60000 (84%)]	Loss: 0.012788
Train Epoch: 3 [51200/60000 (85%)]	Loss: 0.072405
Train Epoch: 3 [51840/60000 (86%)]	Loss: 0.029737
Train Epoch: 3 [52480/60000 (87%)]	Loss: 0.076090
Train Epoch: 3 [53120/60000 (88%)]	Loss: 0.197081
Train Epoch: 3 [53760/60000 (90%)]	Loss: 0.035921
Train Epoch: 3 [54400/60000 (91%)]	Loss: 0.031878
Train Epoch: 3 [55040/60000 (92%)]	Loss: 0.021568
Train Epoch: 3 [55680/60000 (93%)]	Loss: 0.043641
Train Epoch: 3 [56320/60000 (94%)]	Loss: 0.038438
Train Epoch: 3 [56960/60000 (95%)]	Loss: 0.071791
Train Epoch: 3 [57600/60000 (96%)]	Loss: 0.062748
Train Epoch: 3 [58240/60000 (97%)]	Loss: 0.030801
Train Epoch: 3 [58880/60000 (98%)]	Loss: 0.032344
Train Epoch: 3 [59520/60000 (99%)]	Loss: 0.134829
5.009522438049316
